puppet-master,puppet,role::it::puppet_master,,production
dm-hs,hs,role::dm::dm_header_service,,production
ts-sw-env,tcs,role::ts::ts_dev_env_basic,,production
ts-visitsim,visitsim,role::ts::ts_visit_simulator,,production
ats-ccs,ccs,role::ccs::ats_shutter_hcu,,production
ts-efd,efd,role::ts::ts_efd,,production
ts-intcluster,intcluster,role::ts::ts_intcluster,,production
tcs-dome,dome,role::ts::ts_dome,,production
tcs-rotator,rotator,role::ts::ts_rotator,,production
influxdb,influxdb,role::it::influxdb,,production
grafana,grafana,role::it::grafana,,production
graylog,graylog,role::it::graylog,,production
gs-dhcp,dhcp,role::it::gs_dhcp,,production
ts-csc,csc,role::ts::ts_csc,,production
gs-pihole-master,pihole,role::default,,IT_962_avillalobos
